"ticker","sector","roe","net_profit_margin","debt_to_equity","pe_ratio","revenue_growth"
ATRI,Healthcare,0.1859,0.1976,0.0,23.9444,0.0664
IRMD,Healthcare,0.0981,0.131,0.0,56.087,0.3803
TRIB,Healthcare,0.0874,0.1641,0.0,23.0395,0.1497
MSON,Healthcare,0.0852,0.0817,0.0,35.5789,0.1506
PMD,Healthcare,0.2498,0.1098,0.4867,25.25,0.0869
HAL,Energy,0.2152,0.1065,0.4782,9.523,0.118
SWN,Energy,0.1982,0.2288,1.4944,10.3764,0.1979
SLB,Energy,0.1437,0.1119,0.3522,20.3357,0.0732
DVN,Energy,0.0746,0.0779,0.5229,15.5751,0.985
CHK,Energy,0.1134,0.0829,0.6824,10.1399,0.212
SRCI,Energy,0.1025,0.2073,0.1314,56.5263,1.2547
KOS,Energy,0.2086,0.3165,0.5589,11.4932,0.0359
LPI,Energy,0.1699,0.3345,1.1383,5.5053,0.1934
PTEN,Energy,0.0559999999999999,0.0511,0.3391,14.8125,0.1717
EOG,Energy,0.1646,0.1617,0.3337,17.1772,0.2449
FTI,Energy,0.1001,0.0433,0.5988,10.9465,0.1386
RES,Energy,0.2274,0.1049,0.2082,11.4386,0.2557
WMB,Energy,0.2409,0.2768,2.4589,15.2857,0.1133
PAA,Energy,0.1702,0.0318,1.2285,21.4728,0.0288
AR,Energy,0.1537,0.2476,0.9952,15.7899,1.0719
EPD,Energy,0.1543,0.0581,1.1827,23.9205,0.0047
NBL,Energy,0.1176,0.2373,0.5877,14.1161,0.0199
CRZO,Energy,0.2051,0.3187,1.2247,8.3367,0.3653
CLR,Energy,0.1967,0.2035,1.1935,14.4755,0.4032
PXD,Energy,0.1084,0.1834,0.3086,23.2578,0.3866
XEC,Energy,0.1169999999999999,0.2172,0.3295,17.6373,0.2133
NOV,Energy,0.1209,0.1167,0.153,11.2017,0.1154
CPE,Energy,0.0871,0.2487,0.7414,8.1343,0.4806
MUR,Energy,0.1056,0.1654,0.3479,9.9842,0.016
CXO,Energy,0.1019,0.2023,0.6745,20.3988,0.1467
HLX,Energy,0.118,0.1762,0.3335,11.7297,0.2631
HP,Energy,0.1445,0.1901,0.0162,15.0107,0.0969
CNQ,Energy,0.136,0.2083,0.4846,9.9674,0.0698
OII,Energy,0.2584,0.1169999999999999,0.4486,14.6294,0.1134
RRC,Energy,0.1835,0.2615,0.8766,14.0289,0.3703
FET,Energy,0.125,0.1002,0.3019,11.0266,0.1409
FANG,Energy,0.1107,0.3909,0.3846,16.2888,1.3832
ENB,Energy,0.0837,0.0373,2.1432,42.9778,0.047
TRP,Energy,0.0965,0.1807,1.4884,23.1932,0.0601
EQT,Energy,0.0844,0.1567,0.6508,16.1602,0.3264
OIS,Energy,0.1335,0.0984,0.1099,14.6847,0.1169
MPLX,Energy,0.2648,0.1526,1.4092,47.4129,0.6317
REI,Energy,0.0591,0.2211,0.0,30.8824,2.6924
DRQ,Energy,0.1676,0.2242,0.0,14.6992,0.0672
MTDR,Energy,0.1279,0.2563,0.3903,12.8038,0.6568
MMP,Energy,0.4494,0.3557,1.5881,22.4011,0.2118
GPOR,Energy,0.1077,0.3688,0.3064,14.3931,1.5528
WES,Energy,0.2083,0.1878,1.7532,59.049,0.4126
PDCE,Energy,0.1367,0.1815,0.5763,9.5092,1.1805
CPG,Energy,0.0501,0.1208,0.2896,22.0592,0.4446
IMO,Energy,0.168,0.1024,0.3059,11.1859,0.0279
DCP,Energy,0.1413,0.1161,0.7665,15.9965,0.1937
YPF,Energy,0.1239,0.0634,0.6789,9.7805,0.2103
EQM,Energy,0.2831,0.5822,0.6326,24.9292,0.382
HEP,Energy,0.2975,0.3173,2.444,24.925,0.0897
ERF,Energy,0.1345,0.1699,0.5114,7.6403,0.2323
NFG,Energy,0.1242,0.1417,0.7148,19.605,0.155
PBA,Energy,0.0604,0.0631,0.4515,39.5417,0.1101
ENBL,Energy,0.0603,0.1574,0.2894,15.1484,0.3528
NR,Energy,0.1635,0.0914,0.2912,7.7561,0.073
SSL,Energy,0.173,0.1459,0.1573,12.9038,0.1136
FI,Energy,0.1312,0.138,0.0003,16.1456,0.0695
BCEI,Energy,0.1055,0.1639999999999999,0.7756,47.9914,0.3242
NGS,Energy,0.0671,0.1457,0.002,20.2105,0.0866
ESTE,Energy,0.1615,0.2249,0.3689,9.3612,0.5393
HOS,Energy,0.0646,0.1395,0.7715,10.1918,0.1581
CKH,Energy,0.0715,0.0759,0.6232,13.7805,0.0578
GLOP,Energy,0.0885,0.2662,1.4369999999999998,33.6533,1.8721
UNT,Energy,0.0584,0.0866,0.3482,12.1786,0.1635
TDW,Energy,0.0523,0.0977,0.5654,17.1197,0.1535
BSM,Energy,0.259,0.3086,0.6032,19.4286,0.1829
TAT,Energy,0.1375,0.2094,0.6418,7.0,0.0612
PFIE,Energy,0.1291,0.1584,0.0,12.2727,1.0958
PHX,Energy,0.2098,0.2962,0.6544,20.0336,0.3422
ENSV,Energy,0.222,0.0708,1.6505,14.6364,0.2171
MCEP,Energy,0.0961,0.1781,0.8755,6.4388,0.5772
PNRG,Energy,0.3885,0.1871,1.4565,6.3528,0.156
INTC,Technology,0.2095,0.2095,0.2444,15.5565,0.06
MU,Technology,0.283,0.1861,0.6114,11.4321,0.8029
AAPL,Technology,0.3542,0.2161,0.3164,15.4253,0.0695
MSFT,Technology,0.2459,0.2542,0.2522,15.6767,0.1154
AMAT,Technology,0.1362,0.1182,0.2475,23.9091,0.2082
QCOM,Technology,0.2034,0.3008,0.0,15.8182,0.0652
CVLT,Technology,0.1385,0.1093,0.0,47.7574,0.1825
INFY,Technology,0.2207,0.2123,0.0,17.5909,0.115
TXN,Technology,0.2715,0.2163,0.4457,20.4866,0.0688
BIDU,Technology,0.2584,0.2689999999999999,0.5049,37.6667,0.5038
ATHM,Technology,0.2043,0.351,0.0,32.1287,0.7170000000000001
GLW,Technology,0.1146,0.2545,0.1512,12.5989,0.2425
TSM,Technology,0.2488,0.3334,0.2452,14.4695,0.2032
VMW,Technology,0.1169,0.1468,0.1979,40.0583,0.159
LRCX,Technology,0.1257,0.1372,0.2655,17.599,0.2802
GOOGL,Technology,0.1361,0.2142,0.0504,25.3783,0.1888
CGNX,Technology,0.165,0.2849,0.0,29.5214,0.3861
CTSH,Technology,0.1859,0.1402,0.2116,22.2194,0.1606
CTXS,Technology,0.1158,0.0801,0.5948,34.3272,0.0769
WIT,Technology,0.2269999999999999,0.1795,0.1502,33.6853,0.0529
NTCT,Technology,0.12,0.1238,0.0,31.5798,0.1315
DOX,Technology,0.1243,0.1185,0.0618,17.3132,0.0651
TEL,Technology,0.1977,0.1488,0.4283,13.5484,0.0512
YY,Technology,0.3445,0.2894,0.7922,20.9857,0.9756
AKAM,Technology,0.1134,0.17,0.2054,33.6684,0.2446
MCHP,Technology,0.1851,0.2047,0.478,24.0,0.221
INTU,Technology,0.2947,0.2138,0.1621,25.7767,0.0753
XLNX,Technology,0.2289999999999999,0.2646,0.5663,22.8987,0.0986
SWKS,Technology,0.1807,0.1997,0.0,22.6434,0.2787
ADI,Technology,0.1323,0.2197,0.1834,24.7363,0.0877
MANH,Technology,0.4505,0.1666,0.0,37.3578,0.1872
FIS,Technology,0.1036,0.1059,0.7729,26.1345,0.0577
ASX,Technology,0.1507,0.0866,0.6739,13.4548,0.099
ANET,Technology,0.124,0.1179,0.0766,42.7887,0.617
NTES,Technology,0.2034,0.4061,0.0876,16.8239,0.2473
EGOV,Technology,0.3751,0.1435,0.0,30.4915,0.0915
SFUN,Technology,0.4003,0.3603,0.918,11.9968,0.1028
MTCH,Technology,0.1848,0.1664,0.2384,16.0217,0.1061
CHKP,Technology,0.1813,0.4409,0.0,22.4486,0.073
FFIV,Technology,0.2273,0.1797,0.0,28.7506,0.1693
JCOM,Technology,0.1516,0.2076,0.7239,23.8462,0.1502
APH,Technology,0.2439,0.1327,0.9136,23.8097,0.1584
XPER,Technology,0.3149,0.6114,0.0,11.0712,0.6516
AMBA,Technology,0.1641,0.1628,0.0,34.4409,0.3018
MKSI,Technology,0.107,0.1483,0.0,16.8664,0.1665
CDK,Technology,0.1268,0.1153,0.0122,21.831,0.0745
EPAM,Technology,0.1501,0.0954,0.0,32.2635,0.3151
OTEX,Technology,0.1329,0.1343,0.8036,26.3407,0.1917
BITA,Technology,0.2363,0.1855,0.0,37.5,0.7812
GRMN,Technology,0.107,0.1269,0.0,28.4444,0.0907
SPWR,Technology,0.1603,0.0812,0.763,13.6806,0.2074
AME,Technology,0.1804,0.1453,0.5291,22.0209,0.119
SIMO,Technology,0.1462,0.1537,0.0016,17.9167,0.2841
HUBB,Technology,0.1688,0.0968,0.3094,19.3884,0.0551
STMP,Technology,0.1799,0.2504,0.0,20.8652,0.1522
ANSS,Technology,0.1149,0.2721,0.0,29.6029,0.0868
BMI,Technology,0.1385,0.0814,0.3543,28.5337,0.0917
NATI,Technology,0.1131,0.1016,0.0,31.404,0.0608
QLYS,Technology,0.1992,0.2264,0.0,41.0326,0.2373
PLT,Technology,0.1609,0.1373,0.0,16.7736,0.074
AGYS,Technology,0.1287,0.1688,0.0025,17.4026,0.0772
FENG,Technology,0.1533,0.1606,0.0,14.6226,0.126
INTT,Technology,0.1001,0.0823,0.0,12.8788,0.0601
LFUS,Technology,0.1348,0.1151,0.2683,22.777,0.1242
ITRN,Technology,0.3355,0.1671,0.0,15.2,0.0703
SLP,Technology,0.196,0.264,0.0,35.1053,0.138
IPGP,Technology,0.1915,0.2604,0.034,19.4597,0.188
MNDO,Technology,0.2447,0.2191,0.0,13.5517,0.3539
MEI,Technology,0.2452,0.1244,0.1225,11.419,0.4867
GLOB,Technology,0.1982,0.1266,0.0203,19.284,0.2607
FICO,Technology,0.2087,0.1203,1.2009999999999998,19.6786,0.0613
NVMI,Technology,0.1299,0.1546,0.0,15.2794,0.0817
EVOL,Technology,0.1647,0.1889,0.0004,19.5208,0.1828
MLAB,Technology,0.1399,0.1707,0.2565,34.5785,0.1354
CLFD,Technology,0.1162,0.0936,0.0,30.3095,0.0879
GSB,Technology,0.1453,0.113,0.0,14.8,0.0999
